@relation Vweek_noid_In_clustered

@attribute Instance_number numeric
@attribute in0 numeric
@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute in6 numeric
@attribute in7 numeric
@attribute in8 numeric
@attribute in9 numeric
@attribute in10 numeric
@attribute in11 numeric
@attribute in12 numeric
@attribute in13 numeric
@attribute in14 numeric
@attribute in15 numeric
@attribute in16 numeric
@attribute in17 numeric
@attribute in18 numeric
@attribute in19 numeric
@attribute in20 numeric
@attribute in21 numeric
@attribute in22 numeric
@attribute in23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,0,0,0,0,0,0,0,0,0.413223,0,0.413223,0,1.239669,1.652893,0,0.413223,0.413223,1.239669,1.239669,0,0,0,0.413223,0.826446,cluster4
1,0,0,0,0,0,0,0,0,0.413223,0.413223,1.239669,0.826446,0.826446,1.239669,0.826446,1.652893,0.413223,2.066116,0.413223,1.652893,1.239669,0.413223,2.066116,1.652893,cluster5
2,0,0,0,0,0,0,0.30303,0.30303,5.454545,3.333333,0.30303,0.909091,1.515152,3.333333,1.818182,3.030303,2.121212,1.212121,3.333333,0.909091,1.515152,0.30303,0,0,cluster5
3,0,0,0,0,0,0,0,1.652893,3.305785,2.479339,2.066116,1.652893,2.892562,2.479339,3.305785,3.719008,2.066116,2.892562,2.066116,2.066116,2.066116,0.826446,0.826446,0,cluster5
4,0.413223,0,0,0,0,0,0,1.652893,0.826446,2.892562,0,1.652893,1.239669,2.892562,3.305785,4.132231,2.479339,7.024793,7.85124,7.85124,6.198347,6.198347,2.066116,2.066116,cluster5
5,0,0,0,0,0,0.717703,0.956938,4.066986,4.545455,6.698565,0.717703,1.913876,2.15311,3.349282,1.435407,2.15311,2.631579,2.870813,7.416268,3.827751,1.435407,0.956938,0.239234,0.717703,cluster5
6,0.413223,0,0.826446,0,0,0,0,0.826446,1.652893,1.652893,1.652893,1.239669,1.239669,4.545455,4.132231,2.479339,2.066116,7.024793,7.85124,4.132231,4.132231,3.305785,3.305785,1.239669,cluster5
7,0,0.478469,0,0,0,0,2.870813,9.330144,15.311005,10.526316,4.784689,2.15311,2.15311,2.870813,3.827751,2.870813,11.961722,18.421053,9.569378,4.30622,2.392344,1.913876,0.478469,0.478469,cluster2
8,0,0.413223,0,0,0,0,0.826446,0.826446,4.132231,1.652893,0.413223,1.239669,0.826446,0.826446,0,1.239669,2.479339,6.61157,4.132231,2.479339,2.892562,0.413223,1.652893,2.479339,cluster5
9,0,0,0,0,0,1.674641,2.631579,5.980861,13.157895,5.263158,3.110048,1.435407,1.674641,1.674641,0.717703,0.478469,1.435407,1.196172,5.263158,2.870813,1.674641,1.435407,0.239234,0.478469,cluster5
