@relation Vweek_noid_In2_clustered

@attribute Instance_number numeric
@attribute in0 numeric
@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute in6 numeric
@attribute in7 numeric
@attribute in8 numeric
@attribute in9 numeric
@attribute in10 numeric
@attribute in11 numeric
@attribute in12 numeric
@attribute in13 numeric
@attribute in14 numeric
@attribute in15 numeric
@attribute in16 numeric
@attribute in17 numeric
@attribute in18 numeric
@attribute in19 numeric
@attribute in20 numeric
@attribute in21 numeric
@attribute in22 numeric
@attribute in23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,0,0.454545,0,0,0.454545,0,0.454545,0.454545,0.454545,0,0.909091,0,0.454545,0.909091,0.454545,0,0.454545,1.818182,0.454545,0,0.454545,0,0.454545,1.363636,cluster4
1,0.980392,0.294118,0.196078,0.294118,0,0.490196,0.686275,0.490196,0.392157,0.196078,0.196078,0.196078,0.196078,0.392157,0.392157,0.686275,0.392157,0.196078,0.294118,0.980392,0.980392,0.294118,0.490196,0.294118,cluster5
2,0.051282,0.512821,0.307692,0.410256,0.615385,0.461538,0.410256,0.615385,0.307692,0.358974,0.153846,0.358974,0.923077,0.717949,0.512821,0.410256,0.564103,0.153846,0.717949,0.666667,0.358974,0.102564,0.307692,0,cluster2
3,0.072464,0.217391,0.362319,0.144928,0.072464,0.289855,0.362319,0.217391,0.217391,0.289855,0.289855,0.724638,0.507246,0.942029,0.507246,1.086957,0.57971,0.869565,0.362319,0.362319,0.652174,0.072464,0.217391,0.57971,cluster2
4,0.361446,1.445783,0.120482,0,0,0.361446,0.120482,0.722892,0.361446,0.240964,0.240964,0.481928,0,0.60241,0.120482,0,0.361446,0.843373,0.361446,0.361446,0.361446,0.60241,0.843373,1.084337,cluster5
5,0,0.338164,0.193237,0.483092,0.869565,0.531401,0.434783,0.338164,0.531401,0.628019,0.57971,0.676329,0.386473,0.289855,0.386473,0.483092,0.531401,0.57971,0.338164,0.434783,0.289855,0.241546,0.241546,0.193237,cluster2
6,0.338164,0.096618,0.531401,0.483092,0.483092,0.57971,0.193237,0.338164,0.628019,0.338164,0.193237,0.531401,0.483092,0.483092,0.57971,0.193237,0.628019,0.338164,0.531401,0.628019,0.386473,0.193237,0.386473,0.434783,cluster5
7,0.232558,0.581395,0.697674,0.639535,0.639535,0.348837,0.523256,0.348837,0.290698,0.174419,0.232558,0.05814,0.174419,0.348837,0.348837,0.174419,0.406977,0.639535,0.406977,0.813953,0.465116,0.581395,0.697674,0.174419,cluster5
8,0.677966,0.508475,0.169492,0.084746,0.084746,0.338983,0.423729,0.508475,0.59322,0.169492,0.338983,0.59322,0.169492,0.254237,0.59322,0.254237,0.423729,0.338983,0.508475,0.254237,0.59322,0.762712,0.254237,1.101695,cluster5
9,0.273973,0.410959,0.136986,0.273973,0.136986,0.136986,0.136986,0.136986,0.958904,0.273973,0,0.547945,0.136986,0.410959,0.684932,0.547945,0.410959,0.958904,0.547945,0.136986,0.821918,0.273973,0.684932,0.958904,cluster5
10,0.463918,0.154639,0.412371,0.257732,0.257732,0.257732,0.206186,0.206186,0.515464,0.309278,0.515464,0.257732,0.463918,0.463918,0.927835,0.824742,0.979381,0.257732,0.670103,0.56701,0.206186,0.154639,0.463918,0.206186,cluster2
11,0.05618,0.280899,0.224719,0.393258,0.337079,0.224719,0.224719,0.449438,0.337079,0.337079,0.561798,0.730337,0.337079,0.617978,0.674157,0.730337,0.617978,0.337079,0.393258,0.898876,0.505618,0.449438,0.280899,0,cluster2
12,0.30303,0.30303,0.909091,0,0.30303,0.30303,0,0.909091,0,0.30303,0.606061,0,0.606061,1.515152,0,0.606061,0.30303,0,0,0.30303,0.909091,0.30303,0.30303,1.212121,cluster4
13,0.098039,1.111111,0.947712,0.457516,0.326797,0.457516,0.163399,0.457516,0.653595,0.294118,0.196078,0.490196,0.555556,0.424837,0.196078,0.490196,0.457516,0.588235,0.457516,0.228758,0.653595,0.196078,0.065359,0.03268,cluster2
14,0.356738,0.520951,0.430351,0.537939,0.469989,0.605889,0.424689,0.537939,0.385051,0.317101,0.379388,0.345413,0.237826,0.300113,0.254813,0.277463,0.283126,0.311438,0.351076,0.447339,0.447339,0.617214,0.554926,0.605889,cluster5
15,1.237745,0.428922,0.428922,0.269608,0.404412,0.477941,0.294118,0.392157,0.318627,0.294118,0.294118,0.306373,0.245098,0.183824,0.306373,0.294118,0.220588,0.306373,0.379902,0.343137,0.502451,0.514706,0.857843,0.698529,cluster5
16,0.914454,0.60472,0.663717,0.516224,0.899705,0.294985,0.368732,0.383481,0.235988,0.294985,0.250737,0.368732,0.353982,0.280236,0.19174,0.412979,0.39823,0.294985,0.280236,0.309735,0.324484,0.516224,0.39823,0.442478,cluster5
17,0.592538,0.468178,0.482809,0.402341,0.329188,0.446233,0.431602,0.395026,0.380395,0.241405,0.380395,0.402341,0.380395,0.285296,0.321873,0.256035,0.321873,0.343819,0.358449,0.431602,0.51207,0.570593,0.651061,0.614484,cluster5
18,0.602883,0.471822,0.393185,0.288336,0.34076,0.380079,0.432503,0.406291,0.406291,0.366972,0.314548,0.432503,0.445609,0.458716,0.275229,0.235911,0.432503,0.393185,0.366972,0.537353,0.327654,0.458716,0.484928,0.747051,cluster5
19,0.722222,0.611111,0.444444,0.444444,0.5,0.277778,0.222222,0.222222,0.5,0.222222,0.222222,0.555556,0.333333,0.666667,0.277778,0.222222,0.666667,0.222222,0.444444,0.277778,0.666667,0.166667,0.388889,0.722222,cluster5
20,1.183908,0.425287,0.287356,0.402299,0.356322,0.333333,0.183908,0.229885,0.298851,0.252874,0.252874,0.298851,0.241379,0.344828,0.287356,0.402299,0.241379,0.436782,0.333333,0.471264,0.448276,0.678161,0.747126,0.862069,cluster5
21,0.503834,0.26287,0.208105,0.361446,0.175246,0.328587,0.470975,0.317634,0.317634,0.514786,0.41621,0.514786,0.514786,0.580504,0.613363,0.591457,0.460022,0.33954,0.383352,0.503834,0.317634,0.427163,0.481928,0.394304,cluster5
22,0.278649,0.505051,0.588645,0.61651,0.494601,0.424939,0.376176,0.397074,0.393591,0.424939,0.445838,0.369209,0.344828,0.323929,0.386625,0.365726,0.397074,0.369209,0.417973,0.473703,0.435388,0.463253,0.35876,0.348311,cluster5
23,0.337838,0.292793,0.641892,0.540541,0.625,0.343468,0.439189,0.36036,0.467342,0.332207,0.35473,0.399775,0.320946,0.304054,0.332207,0.337838,0.36036,0.411036,0.332207,0.394144,0.495495,0.489865,0.563063,0.523649,cluster5
24,0.355649,0.390516,0.355649,0.39749,0.585774,0.564854,0.285914,0.376569,0.334728,0.320781,0.320781,0.320781,0.292887,0.348675,0.348675,0.467225,0.467225,0.404463,0.390516,0.488145,0.599721,0.543933,0.627615,0.411437,cluster5
25,0.807175,0.470852,0.336323,0.29148,0.29148,0.112108,0.381166,0.44843,0.313901,0.269058,0.201794,0.313901,0.313901,0.313901,0.44843,0.73991,0.336323,0.672646,0.44843,0.381166,0.313901,0.381166,0.538117,0.874439,cluster5
26,0.341113,0.59246,0.610413,0.37702,0.2693,0.448833,0.305206,0.37702,0.466786,0.502693,0.412926,0.341113,0.305206,0.37702,0.341113,0.394973,0.287253,0.341113,0.48474,0.610413,0.466786,0.664273,0.359066,0.32316,cluster5
27,1.166008,0.296443,0.296443,0.41502,0.237154,0.237154,0.454545,0.513834,0.513834,0.395257,0.434783,0.27668,0.217391,0.27668,0.335968,0.375494,0.335968,0.237154,0.355731,0.316206,0.533597,0.434783,0.652174,0.6917,cluster5
28,0.925373,0.268657,0.208955,0.268657,0.567164,0.537313,0.328358,0.38806,0.328358,0.179104,0.268657,0.238806,0.238806,0.179104,0.298507,0.358209,0.298507,0.38806,0.268657,0.41791,0.477612,0.567164,0.895522,1.104478,cluster5
29,0,0.285714,0.571429,0.714286,1,0.285714,0,0.571429,0.857143,0.428571,0.428571,0.285714,0.142857,0.142857,0.428571,1,0.571429,0,0.285714,0.571429,0.142857,0.285714,0.571429,0.428571,cluster2
30,0.391061,0.351157,0.295291,0.311253,0.343176,0.319234,0.526736,0.494812,0.351157,0.478851,0.343176,0.446927,0.462889,0.335196,0.367119,0.438947,0.327215,0.462889,0.454908,0.446927,0.510774,0.510774,0.550678,0.478851,cluster5
31,0.163488,0.463215,0.653951,1.307902,0.735695,0.653951,0.299728,0.408719,0.517711,0.517711,0.381471,0.326975,0.626703,0.381471,0.299728,0.190736,0.163488,0.381471,0.299728,0.27248,0.27248,0.299728,0.245232,0.13624,cluster2
32,0.496278,0.388751,0.405294,0.521092,0.545906,0.438379,0.479735,0.355666,0.314309,0.281224,0.322581,0.38048,0.322581,0.314309,0.363937,0.272953,0.322581,0.405294,0.438379,0.504549,0.438379,0.479735,0.686518,0.521092,cluster5
33,0,0,1.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,1.666667,0,0,0,0,0,cluster3
34,0.355191,0.163934,0.218579,0.382514,0.409836,0.655738,0.327869,0.327869,0.491803,0.464481,0.737705,0.409836,0.464481,0.546448,0.245902,0.437158,0.382514,0.218579,0.355191,0.409836,0.710383,0.57377,0.491803,0.218579,cluster5
35,0,0,0,0,3.333333,0,3.333333,3.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
36,0,3.076923,0,0.769231,0.769231,0,1.538462,0,0,0.769231,0,0,0.769231,0.769231,0,0,0,0,0.769231,0,0,0.769231,0,0,cluster3
37,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
38,0,0.909091,0,0.454545,0,0.454545,0,1.363636,0.454545,0,0,1.818182,0,0.454545,0,0,0,0.909091,0.454545,0.454545,0.909091,0,0.909091,0.454545,cluster4
39,0,0.322581,0.645161,0.645161,0,0.322581,0.322581,0.967742,0.322581,0.645161,0.967742,0.645161,0,0.645161,0.967742,0.322581,0.322581,0.645161,0.322581,0.322581,0,0,0.645161,0,cluster2
40,0.30303,0.10101,0.40404,0.10101,0.30303,0.808081,1.010101,0.707071,0.40404,0.40404,0.606061,0.20202,0.20202,0.30303,0.30303,0.30303,0.505051,0.40404,0.909091,0.505051,0.30303,0.505051,0.30303,0.10101,cluster2
41,0.422535,0.56338,0.56338,0.422535,0.422535,0.352113,0.492958,0.56338,0.28169,0.352113,0.28169,0.633803,0.492958,0.492958,0.352113,0.422535,0.070423,0.422535,0.422535,0.704225,0.56338,0.140845,0.211268,0.352113,cluster5
42,0.782459,0.309544,0.300946,0.515907,0.206363,0.309544,0.300946,0.361135,0.27515,0.240757,0.318143,0.266552,0.343938,0.266552,0.455718,0.240757,0.395529,0.49871,0.352537,0.44712,0.533104,0.705073,0.756664,0.816853,cluster5
43,0.81761,0.314465,0.440252,0.251572,0.566038,0.314465,0.062893,0.691824,0.377358,0.691824,0.188679,0.251572,0.440252,0.440252,0.314465,0.251572,0.188679,0.503145,0.251572,0.251572,0.377358,0.440252,0.880503,0.691824,cluster5
44,0.073529,0.294118,0.661765,0.808824,0.294118,0.441176,0.441176,0.661765,0.367647,0.514706,0.661765,0.588235,0.367647,0.514706,0.220588,0.514706,0.294118,0.661765,0.514706,0.147059,0.294118,0.147059,0.220588,0.294118,cluster2
45,0.446176,0.339943,0.616147,0.502833,0.375354,0.467422,0.26204,0.368272,0.453258,0.382436,0.439093,0.339943,0.403683,0.354108,0.516997,0.375354,0.339943,0.389518,0.432011,0.382436,0.488669,0.446176,0.46034,0.417847,cluster5
46,0.744681,0.496454,0.381206,0.381206,0.301418,0.363475,0.443262,0.363475,0.301418,0.292553,0.35461,0.336879,0.257092,0.248227,0.239362,0.265957,0.328014,0.328014,0.434397,0.443262,0.585106,0.638298,0.735816,0.735816,cluster5
47,1.25,0.357143,0.267857,0,0.446429,0.446429,0.535714,0.267857,0.535714,0,0.178571,0.267857,0.267857,0.625,0.357143,0.535714,0.446429,0.357143,1.071429,0.446429,0.178571,0.267857,0.357143,0.535714,cluster5
48,0.129032,0.258065,0.258065,0.677419,0.16129,0.548387,0.548387,0.483871,0.580645,0.387097,0.774194,0.290323,0.258065,0.709677,0.483871,0.225806,0.387097,0.354839,0.483871,0.516129,0.387097,0.451613,0.451613,0.193548,cluster2
49,0.30082,0.413248,0.738377,0.692799,0.498329,0.589486,0.565178,0.440596,0.416287,0.422364,0.349438,0.325129,0.382862,0.395017,0.346399,0.322091,0.373747,0.346399,0.355515,0.349438,0.337284,0.361592,0.340322,0.337284,cluster5
50,0.516333,0.421496,0.231823,0.273973,0.537408,0.432034,0.32666,0.421496,0.400421,0.358272,0.463646,0.484721,0.316122,0.252898,0.432034,0.52687,0.463646,0.410959,0.432034,0.295047,0.484721,0.642782,0.484721,0.389884,cluster5
51,0.45929,0.553236,0.521921,0.469729,0.427975,0.302714,0.375783,0.39666,0.386221,0.448852,0.427975,0.313152,0.375783,0.375783,0.448852,0.302714,0.521921,0.292276,0.323591,0.448852,0.417537,0.448852,0.563674,0.39666,cluster5
52,0.160256,0.801282,0.512821,0.897436,0.673077,0.528846,0.608974,0.416667,0.400641,0.400641,0.416667,0.464744,0.272436,0.36859,0.36859,0.336538,0.480769,0.352564,0.464744,0.336538,0.128205,0.288462,0.128205,0.192308,cluster2
53,0.638298,0.474632,0.261866,0.327332,0.441899,0.360065,0.360065,0.376432,0.343699,0.327332,0.229133,0.360065,0.490998,0.376432,0.327332,0.360065,0.572831,0.278232,0.212766,0.343699,0.621931,0.671031,0.654664,0.589198,cluster5
54,0.200927,0.680062,0.664606,0.72643,0.540958,0.432767,0.386399,0.448223,0.340031,0.386399,0.370943,0.370943,0.463679,0.587326,0.355487,0.355487,0.556414,0.278207,0.355487,0.401855,0.386399,0.262751,0.200927,0.247295,cluster2
55,0.317726,0.401338,0.351171,0.284281,0.234114,0.618729,0.351171,0.234114,0.434783,0.518395,0.334448,0.367893,0.585284,0.351171,0.535117,0.301003,0.535117,0.551839,0.568562,0.48495,0.351171,0.401338,0.401338,0.48495,cluster5
56,0.264463,0.380165,0.31405,0.363636,0.429752,0.429752,0.578512,0.396694,0.429752,0.413223,0.396694,0.677686,0.380165,0.495868,0.413223,0.413223,0.46281,0.495868,0.479339,0.595041,0.396694,0.31405,0.231405,0.247934,cluster5
57,0.588526,0.41543,0.321464,0.380811,0.361029,0.41543,0.385757,0.410485,0.276954,0.410485,0.41543,0.306627,0.311573,0.41543,0.395648,0.405539,0.410485,0.351137,0.405539,0.469832,0.573689,0.464886,0.53907,0.568744,cluster5
58,0.588235,0.588235,0.542986,0.271493,0.723982,0.180995,0.316742,0.316742,0.316742,0.40724,0.226244,0.497738,0.135747,0.678733,0.316742,0.40724,0.40724,0.81448,0.316742,0.316742,0.361991,0.271493,0.452489,0.542986,cluster5
59,0.906736,0.699482,0.453368,0.259067,0.233161,0.284974,0.310881,0.259067,0.220207,0.556995,0.569948,0.297927,0.401554,0.323834,0.440415,0.310881,0.310881,0.310881,0.310881,0.284974,0.401554,0.673575,0.466321,0.712435,cluster5
60,0.550964,0.495868,0.743802,0.633609,0.688705,0.523416,0.440771,0.633609,0.550964,0.220386,0.30303,0.358127,0.440771,0.082645,0.275482,0.165289,0.165289,0.440771,0.46832,0.30303,0.30303,0.440771,0.358127,0.413223,cluster5
61,0.595238,0.833333,0.595238,0.238095,0.357143,0.714286,0.47619,0.119048,0.47619,0.238095,0,0.595238,0.357143,0.357143,0.833333,0.357143,0.595238,0.357143,0.357143,0.714286,0.119048,0.238095,0.47619,0,cluster2
62,0.648148,0.462963,0.555556,0.092593,0.555556,0.648148,0.648148,0.555556,0.185185,0.648148,0.277778,0.277778,0.37037,0.277778,0.277778,0.277778,0.462963,0.462963,0.092593,0.37037,0.277778,0.185185,0.555556,0.833333,cluster5
63,1.237113,0.309278,0.206186,0.309278,0.515464,0.721649,0,0.103093,0,0.309278,0.206186,0.103093,0.412371,0.412371,0.412371,0.515464,0.206186,0.309278,0.412371,0.309278,0.618557,0.103093,0.721649,1.546392,cluster5
64,0,1.538462,0.769231,0,0,0.769231,0,0,2.307692,0.769231,3.846154,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster3
65,0,0.769231,1.153846,1.923077,0.384615,0,0,1.153846,0.769231,0.769231,0.769231,0,0,0,0,0.384615,0.384615,0.384615,0.384615,0,0,0.769231,0,0,cluster2
66,0.135528,0.425944,0.551791,0.493708,0.571152,0.70668,0.609874,0.551791,0.464666,0.493708,0.571152,0.493708,0.513069,0.571152,0.551791,0.667957,0.193611,0.309777,0.145208,0.232333,0.145208,0.203291,0.17425,0.222652,cluster2
67,0.10582,0.449735,0.582011,0.42328,0.555556,0.449735,0.449735,0.582011,0.449735,0.26455,0.31746,0.26455,0.31746,0.608466,0.582011,0.396825,0.343915,0.291005,0.634921,0.291005,0.502646,0.47619,0.42328,0.238095,cluster5
68,0,0,1.111111,0,0,2.222222,1.111111,1.111111,1.111111,1.111111,0,0,0,0,1.111111,0,0,0,0,0,0,0,0,1.111111,cluster4
69,0,0.487106,0.143266,0.286533,0.286533,0.17192,0.458453,0.286533,0.487106,0.429799,0.687679,0.773639,0.573066,0.34384,0.773639,0.372493,0.716332,0.773639,0.429799,0.573066,0.372493,0.17192,0.200573,0.200573,cluster2
70,0.032538,0.206074,0.21692,0.206074,0.314534,0.401302,0.433839,0.509761,0.629067,0.260304,0.661605,0.455531,0.661605,0.629067,0.715835,0.607375,0.563991,0.520607,0.542299,0.520607,0.466377,0.260304,0.130152,0.05423,cluster2
71,0.204082,0,0.612245,0,0.612245,0.408163,0.816327,0.612245,0,0.816327,0,0,1.632653,0.408163,0.408163,0.204082,0.408163,0,0.816327,0.612245,0.816327,0.204082,0.408163,0,cluster4
72,0,0.677966,0.59322,1.016949,0.423729,0.254237,0.508475,0.169492,0.423729,0.254237,0.932203,0.59322,0.338983,0.423729,0.59322,0.59322,0.423729,0.338983,0.169492,0.677966,0.169492,0.084746,0.084746,0.254237,cluster2
73,0.328947,0.361842,0.230263,0.263158,0.394737,0.559211,0.657895,0.361842,0.690789,0.723684,0.296053,0.625,0.526316,0.690789,0.328947,0.328947,0.394737,0.625,0.460526,0.263158,0.361842,0.065789,0.131579,0.328947,cluster2
74,0,0.206612,0.237603,0.402893,0.454545,0.36157,0.52686,0.816116,0.650826,0.495868,0.454545,0.71281,0.578512,0.867769,0.816116,0.661157,0.371901,0.382231,0.268595,0.227273,0.247934,0.092975,0.092975,0.072314,cluster2
75,0.123457,0.123457,0,0.246914,0.185185,0.308642,0.246914,0.432099,0.308642,0.617284,0.246914,0.308642,0.246914,0.246914,0.493827,0.37037,0.37037,1.049383,0.987654,0.802469,1.111111,0.740741,0.185185,0.246914,cluster2
76,0.083472,0.66778,0.65665,0.567613,0.612131,0.528659,0.612131,0.511964,0.422927,0.450751,0.400668,0.372844,0.383973,0.356149,0.328325,0.395103,0.345019,0.422927,0.33389,0.372844,0.383973,0.339455,0.317195,0.133556,cluster2
77,0.156794,0.33101,0.400697,0.43554,0.452962,0.644599,0.452962,0.43554,0.505226,0.313589,0.54007,0.505226,0.400697,0.574913,0.261324,0.348432,0.313589,0.487805,0.505226,0.261324,0.43554,0.470383,0.418118,0.348432,cluster5
78,0.154639,0.360825,0.773196,0.412371,0.618557,0.670103,0.618557,0.56701,0.412371,0.360825,0.618557,0.257732,0.618557,0.56701,0.515464,0.206186,0.412371,0.154639,0.103093,0.515464,0.257732,0.463918,0.206186,0.154639,cluster2
79,0.475561,0.343461,0.356671,0.224571,0.317041,0.303831,0.224571,0.409511,0.554822,0.290621,0.264201,0.541612,0.211361,0.303831,0.422721,0.343461,0.343461,0.396301,0.541612,0.607662,0.541612,0.686922,0.620872,0.673712,cluster5
80,0.145396,0.323102,0.452342,0.290792,0.306947,0.452342,0.533118,0.484653,0.387722,0.533118,0.436187,0.371567,0.403877,0.581583,0.500808,0.452342,0.420032,0.420032,0.452342,0.775444,0.613893,0.258481,0.193861,0.210016,cluster2
81,0.116897,0.340064,0.233794,0.393199,0.488842,0.393199,0.563231,0.42508,0.499469,0.467588,0.53135,0.520723,0.42508,0.541977,0.467588,0.563231,0.488842,0.595112,0.541977,0.371945,0.308183,0.361318,0.159405,0.201913,cluster2
82,0.759494,0.479204,0.235081,0.406872,0.307414,0.461121,0.271248,0.433996,0.388788,0.379747,0.379747,0.443038,0.370705,0.352622,0.39783,0.361664,0.352622,0.271248,0.45208,0.443038,0.39783,0.506329,0.524412,0.62387,cluster5
83,0.669145,0.185874,0.185874,0.334572,0.669145,0.446097,0.63197,0.520446,0.371747,0.520446,0.63197,0.63197,0.743494,0.408922,0.817844,0.334572,0.483271,0.260223,0.185874,0.074349,0.111524,0.148699,0.223048,0.408922,cluster2
84,0.169014,0.760563,0.478873,0.619718,0.56338,0.507042,0.478873,0.591549,0.56338,0.450704,0.422535,0.535211,0.450704,0.366197,0.338028,0.366197,0.422535,0.535211,0.394366,0.28169,0.197183,0.28169,0.056338,0.169014,cluster2
85,0.131868,0.21978,0.340659,0.615385,0.417582,0.648352,0.516484,0.626374,0.505495,0.516484,0.472527,0.626374,0.626374,0.505495,0.461538,0.43956,0.417582,0.527473,0.307692,0.384615,0.153846,0.230769,0.230769,0.076923,cluster2
86,0.243902,0.284553,0.528455,0.325203,0.121951,0.284553,0.406504,0.447154,0.691057,0.243902,0.569106,0.487805,0.406504,0.569106,0.650407,0.609756,0.203252,0.406504,0.731707,0.487805,0.609756,0.284553,0.243902,0.162602,cluster2
87,0.823699,0.317919,0.390173,0.33237,0.317919,0.274566,0.33237,0.274566,0.375723,0.289017,0.476879,0.390173,0.216763,0.433526,0.433526,0.390173,0.520231,0.491329,0.491329,0.404624,0.404624,0.433526,0.606936,0.578035,cluster5
88,0.471698,0.471698,0.424528,0.613208,0.377358,0.471698,0.424528,0.566038,0.660377,0.660377,0.330189,0.566038,0.283019,0.283019,0.377358,0.235849,0.283019,0.235849,0.707547,0.235849,0.235849,0.424528,0.283019,0.377358,cluster5
89,0.125,0.625,0.8125,0.4375,0.5,0.4375,0.34375,0.34375,0.78125,0.5625,0.5625,0.53125,0.25,0.34375,0.53125,0.28125,0.40625,0.25,0.40625,0.5625,0.25,0.3125,0.21875,0.125,cluster2
90,0.098246,0.273684,0.610526,0.463158,0.442105,0.505263,0.519298,0.463158,0.498246,0.470175,0.505263,0.34386,0.568421,0.392982,0.4,0.329825,0.4,0.392982,0.561404,0.392982,0.498246,0.301754,0.336842,0.231579,cluster5
91,0.38835,0.873786,0.485437,0.194175,0.38835,0.582524,0.097087,0.291262,0.291262,0,0.097087,0.485437,0.485437,0.097087,0.291262,0.776699,0.485437,0.873786,0.38835,1.165049,0.38835,0.291262,0.097087,0.485437,cluster2
92,0.904393,0.697674,0.335917,0.310078,0.103359,0.284238,0.310078,0.516796,0.206718,0.258398,0.465116,0.361757,0.284238,0.155039,0.232558,0.284238,0.387597,0.568475,0.413437,0.439276,0.361757,0.697674,0.620155,0.801034,cluster5
