@relation Vweek_noid_Out2_clustered

@attribute Instance_number numeric
@attribute out0 numeric
@attribute out1 numeric
@attribute out2 numeric
@attribute out3 numeric
@attribute out4 numeric
@attribute out5 numeric
@attribute out6 numeric
@attribute out7 numeric
@attribute out8 numeric
@attribute out9 numeric
@attribute out10 numeric
@attribute out11 numeric
@attribute out12 numeric
@attribute out13 numeric
@attribute out14 numeric
@attribute out15 numeric
@attribute out16 numeric
@attribute out17 numeric
@attribute out18 numeric
@attribute out19 numeric
@attribute out20 numeric
@attribute out21 numeric
@attribute out22 numeric
@attribute out23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,0,0.638298,0.638298,0.425532,0.212766,0.638298,0.638298,0.212766,0.638298,1.489362,0.425532,0.425532,0.212766,0,0.212766,1.06383,0.638298,0.425532,0,0,0.212766,0.425532,0,0.425532,cluster3
1,0.634921,0.238095,0.396825,0,0.47619,1.031746,0.555556,0,0.555556,0.634921,0.555556,0.555556,0.555556,0.714286,0.634921,0.15873,0.555556,0.238095,0.31746,0.238095,0.079365,0.31746,0.079365,0.47619,cluster3
2,0.129032,0.258065,0.193548,0.322581,0.451613,0.516129,0.064516,0.322581,0.645161,0.516129,0.516129,0.387097,0.193548,0.322581,0.516129,1.16129,0.193548,0.645161,0.709677,0.774194,0.645161,0,0.387097,0.129032,cluster5
3,0,0.142857,0.071429,0.5,0.428571,0.5,0.285714,0.5,0.571429,0.285714,0.857143,0.714286,0.285714,0.428571,0.785714,0.428571,0.714286,0.5,0.714286,0.285714,0.071429,0.071429,0.428571,0.428571,cluster5
4,0,0.408163,0.102041,0.612245,1.020408,0.816327,0.510204,1.020408,0.408163,0.714286,0.306122,0.408163,0.612245,0.510204,0.408163,0.102041,0.204082,0.612245,0.408163,0.510204,0.102041,0.204082,0,0,cluster3
5,0.38961,0.38961,0.194805,0.12987,0.12987,0.194805,0.714286,0.324675,0.584416,0.38961,0.649351,0.324675,0.584416,0.064935,0.519481,0.714286,0.38961,0.194805,0.38961,0.584416,0.25974,0.324675,0.779221,0.779221,cluster5
6,0.116279,0.348837,0.639535,0.290698,0.232558,0.581395,0.406977,0.465116,0.639535,0.581395,0.174419,0.406977,0.465116,0.581395,0.523256,0.465116,0.465116,0.406977,0.465116,0.232558,0.348837,0.465116,0.406977,0.290698,cluster4
7,1.150442,0.486726,0.309735,0.088496,0.353982,0.132743,0.176991,0.309735,0.176991,0.353982,0.265487,0.530973,0.39823,0.442478,0.39823,0.619469,0.752212,0.39823,0.530973,0.707965,0.221239,0.265487,0.575221,0.353982,cluster2
8,0,0.32,0.32,0.24,0.48,0.48,0.88,0.32,0.4,0.72,0.32,0.24,0.56,0.16,0.72,0.48,0.4,0.48,0.32,0.64,0.08,0.24,0.24,0.96,cluster5
9,0.416667,0.555556,0.694444,0.972222,0.555556,0.694444,0.555556,0.277778,0.555556,0.138889,0.138889,0.555556,0.277778,0.277778,0.138889,0,0.694444,0.694444,0.277778,0.277778,0.416667,0.277778,0.416667,0.138889,cluster3
